,time,VTWS_AVG,WIND_SPEED,WIND_SPEED_2,windspeed5,Windspeed3a,Timestamp Flag,data qc flag VTWS_AVG
0,2020-10-01 05:00:00+00:00,10.7753307331873,10.6874249554202,10.7285328408775,11.908320020271177,10.730429509828333,,10.7753307331873
1,2020-10-01 06:00:00+00:00,9.09221413550077,9.16592821669163,9.19923745074774,9.464774075159758,9.152459934313379,,9.09221413550077
2,2020-10-01 07:00:00+00:00,7.90888021806844,8.01248968008373,8.01374369806148,9.959714383751175,7.978371198737883,,7.90888021806844
3,2020-10-01 08:00:00+00:00,7.42552405830707,7.44237120902096,7.47533084587111,7.747371573264941,7.447742037733047,,7.42552405830707
4,2020-10-01 09:00:00+00:00,7.61958088379795,7.6568798310558,7.68330526422051,7.866112505640953,7.653255326358088,,7.61958088379795
5,2020-10-01 10:00:00+00:00,6.67338994331758,6.68529162674899,6.70862799668935,7.285696956170534,6.689103188918639,,6.67338994331758
6,2020-10-01 11:00:00+00:00,6.15604071808657,6.18116704599315,6.20130360737155,6.30957766750416,6.179503790483757,,6.15604071808657
7,2020-10-01 12:00:00+00:00,5.31296897799509,5.32747235950058,5.35159205778866,5.826359705246731,5.33067779842811,,5.31296897799509
8,2020-10-01 13:00:00+00:00,5.41328853288488,5.40266308119609,5.43030618216191,5.5328922868169,5.415419265414293,,5.41328853288488
9,2020-10-01 14:00:00+00:00,6.03157467009075,6.04887780999564,6.06878837673026,6.341149894797461,6.0497469522722165,,6.03157467009075
10,2020-10-01 15:00:00+00:00,6.72452028415567,6.74569707007806,6.77236501400812,6.921927646068222,6.747527456080616,,6.72452028415567
11,2020-10-01 16:00:00+00:00,7.14282985450432,7.1640286538513,7.18803887075184,7.938332866225406,7.16496579303582,,7.14282985450432
12,2020-10-01 17:00:00+00:00,7.01111478208049,7.02666805871892,7.04230933652106,7.232268618543933,7.026697392440156,,7.01111478208049
13,2020-10-01 18:00:00+00:00,5.50562649328053,5.4871706605342,5.50029546477083,5.547587405709259,5.49769753952852,,5.50562649328053
14,2020-10-01 19:00:00+00:00,5.02975204159631,4.99993533983031,5.00672380212152,5.44753946689907,5.012137061182713,,5.02975204159631
15,2020-10-01 20:00:00+00:00,4.4735996447199,4.31459661156098,4.32868873854334,5.143901105827859,4.37229499827474,,4.4735996447199
16,2020-10-01 21:00:00+00:00,4.19769118560128,4.23884700988729,4.24290566499034,4.585419384438443,4.226481286826303,,4.19769118560128
17,2020-10-01 22:00:00+00:00,4.23442957019588,4.31050499178475,4.31295068692008,5.173793758488002,4.285961749633571,,4.23442957019588
18,2020-10-01 23:00:00+00:00,5.21195587648026,4.94606033323536,4.94793868851327,9.989921402789756,5.03531829940963,,5.21195587648026
19,2020-10-02 00:00:00+00:00,5.75062736108159,5.72874715891401,5.72911045216639,5.798523983553203,5.73616165738733,,5.75062736108159
20,2020-10-02 01:00:00+00:00,5.91762268101829,5.89252790336629,5.87924903390958,6.099725619176105,5.896466539431387,,5.91762268101829
21,2020-10-02 02:00:00+00:00,6.29377577416291,6.14701711007165,6.15145082872649,6.869816634098525,6.197414570987017,,6.29377577416291
22,2020-10-02 03:00:00+00:00,6.50993400413657,6.53116121776183,6.49204465966038,6.994367035684316,6.51104662718626,,6.50993400413657
23,2020-10-02 04:00:00+00:00,6.48393571481162,6.60980799619928,6.58069768671766,7.019693388556914,6.558147132576187,,6.48393571481162
24,2020-10-02 05:00:00+00:00,7.09140434209923,7.15202301822121,7.13790687548449,7.705237645877794,7.127111411934976,,7.09140434209923
25,2020-10-02 06:00:00+00:00,6.65881938213177,6.60373591139362,6.61418863224764,6.851018861324214,6.62558130859101,,6.65881938213177
26,2020-10-02 07:00:00+00:00,,6.04783507911648,6.04783507911648,6.047835079116482,6.04783507911648,,Erroneous
27,2020-10-02 08:00:00+00:00,5.54510300955838,5.61395863844964,5.62653512246754,5.973508560283792,5.5951989234918535,,5.54510300955838
28,2020-10-02 09:00:00+00:00,,6.02925132397388,6.02925132397388,6.02925132397388,6.02925132397388,,Erroneous
29,2020-10-02 10:00:00+00:00,6.01566375916609,6.02629782538679,6.0297484733767,6.079257623267795,6.023903352643193,,6.01566375916609
30,2020-10-02 11:00:00+00:00,5.30962015089868,5.46796412336968,5.47098716278377,6.297890427742305,5.416190479017376,,5.30962015089868
31,2020-10-02 12:00:00+00:00,5.20169071739614,5.1910757959729,5.1981011974327,5.350162244773168,5.196955903600579,,5.20169071739614
32,2020-10-02 13:00:00+00:00,,5.62512607437256,5.62512607437256,5.62512607437256,5.62512607437256,,Erroneous
33,2020-10-02 14:00:00+00:00,5.42689873527228,5.50607654869908,5.52256448487793,6.1682305114472475,5.485179922949762,,5.42689873527228
34,2020-10-02 15:00:00+00:00,5.14039551558045,5.15559600134093,5.16771126925348,5.25946657355277,5.15456759539162,,5.14039551558045
35,2020-10-02 16:00:00+00:00,4.45161307836087,4.47409166021891,4.50284786744661,5.011327749916831,4.476184202008796,,4.45161307836087
36,2020-10-02 17:00:00+00:00,4.42038958456669,4.34890908267089,4.35205046865001,4.631733941247481,4.3737830452958635,,4.42038958456669
37,2020-10-02 18:00:00+00:00,4.17297384019555,4.20793151086295,4.21760868616136,4.3908547313610935,4.199504679073287,,4.17297384019555
38,2020-10-02 19:00:00+00:00,5.00143824702928,4.95319686419537,4.96486980127123,5.3720849962237365,4.973168304165294,,5.00143824702928
39,2020-10-02 20:00:00+00:00,5.55772805472437,5.55664500727792,5.56112536263272,5.588026719012218,5.558499474878336,,5.55772805472437
